Profundidade (m),Vazão (L/h),Fraturas (m),Resíduo Seco (mg/L),Lab,Análise,Latitude,Longitude
40,nan,25.333333333333332,nan,,,nan,nan
60,nan,,nan,,,nan,nan
53,900,15.5,nan,,,nan,nan
52,nan,16.0,nan,,,nan,nan
60,nan,32.5,nan,,,nan,nan
52,nan,24,nan,,,nan,nan
51,seco,30,nan,,,nan,nan
51,nan,35,nan,,,nan,nan
51,nan,14,nan,,,nan,nan
52,nan,0,nan,,,nan,nan
52,nan,39,nan,,,nan,nan
37,nan,15.0,nan,,,nan,nan
51,nan,0,nan,,,nan,nan
52,nan,0,nan,,,nan,nan
52,nan,18.0,nan,,,nan,nan
52,nan,,nan,,,nan,nan
52,nan,18,nan,,,nan,nan
52,nan,14,nan,,,nan,nan
52,seco,0,nan,,,nan,nan
51,seco,0,nan,,,nan,nan
52,seco,0,nan,,,nan,nan
52,seco,12,nan,,,nan,nan
52,nan,35,nan,,,nan,nan
,nan,,nan,,,"06°53'03.3""","38°36'36.4"""
51,seco,40,-,,,"06°51'54.6""","36°25'50.7"""
,nan,,nan,,,"06°51'24.1""","38°29'46.5"""
20,nan,7,nan,,,nan,nan
40.70,9000,14.5,nan,,,"07°11'25.70""","35°21'38.50"""
49,6545,,2672.90,LABDES,55/2011,"07°06'04.3""","35°20'15.9"""
,nan,,5700,,,"07°09'32.4""","35°19'15.3"""
,nan,,nan,,,"07°10'51.7""","35°21'28.2"""
48,147,20,nan,,,"  07°10'55.5"""," 35°55'23.2"""
48,1565,20,1858.80,LABDES,333/2011,"  07°12'47.1"""," 35°52'43.8"""
80,480,11,7456,,,"  07°14'00.4"""," 35°52'00.9"""
52,seco,36,-,,,"  07°12'18.9"""," 35°59'25.1"""
30,Improdutivo,9,-,,,"  07°10'36.7"""," 35°53'59.4"""
60,200,16.5,-,,,"  07°13'33.4"""," 35°53'08.5"""
55.80,173,21.5,4200.40,LABDES,334/2012,"  07°16'47.0"""," 36°02'07.1"""
52,0  (verif),42,6697.50,LABDES,93/2011,"  07°16'18.3"""," 35°52'12.9"""
100,seco,-,-,,14/2014,"  07°13'35.3"""," 35°51'13.0"""
61,seco,-,-,,,"  07°14'01.4"""," 35°51'24.5"""
51,seco,8,-,,,"  07°17'24.3"""," 35°43'26.5"""
52,seco,-,-,,,"  07°14'18.4"""," 35°52'10.2"""
52,seco,-,-,,,"  07°13'27.2"""," 35°53'20.8"""
51,470,32.5,1479.20,,,"  07°13'08.19"""," 35°53'28.07"""
67.30,183,53,4891.20,,,"  07°12'45.8"""," 35°55'30.9"""
,nan,,nan,,," 07°13'50.62""","35°52'17.57"""
43.60,3000,34,2303.40,,,"06°40'53.3""","35°44'59.8"""
52,seco,21,-,,,"07°13'13.4""","35°52'56.3"""
,nan,,nan,,,"07°11'16.6""","35°51'43.5"""
,nan,,nan,,,"07°11'03.6""","35°51'52.3"""
51,seco,0,-,,,"07°11'01.04""","35°51'35.2"""
,nan,,nan,,,"07°12'30.40""","35°55'33.70"""
60,nan,0,nan,,,"07°12'33.10""","35°55'27.60"""
,nan,,nan,,,"07°12'30.9""","35°55'19.8"""
60,400,33.5,nan,,,"07°11'01.4""","35°51'35.2"""
,nan,,nan,,,"07°07'35.1""","38°35'12.1"""
50,nan,0,nan,,,"07°16'32.6""","35°44'42.4"""
49,5538,26,nan,,,"07°15'11.4""","35°58'49.4"""
,nan,,nan,,,"07°10'46.60""","35°59'50.00"""
,nan,,nan,,,"07°12'33.6""","35°58'46.2"""
,nan,,nan,,,"07°13'08.00""","35°56'07.90"""
60,nan,,nan,,,"07°18'21.7""","35°47'56.3"""
,nan,,nan,,,"07°17'41.70""","35°49'29.90"""
51,nan,22.333333333333332,nan,,,"07°12'57.7""","35°53'36.2"""
51,nan,0,nan,,,"07°13'13.4""","35°52'56.3"""
50,960,22.0,nan,,,"07°12'56.90""","35°52'54.00"""
,nan,,nan,,,"07°13'24.3""","35°52'33.9"""
55,nan,50,nan,,,"07°15'11.2""","35°53'40.4"""
51,300,31,nan,,,"07°14'59.50""","35°53'39.50"""
,nan,,nan,,,"07°13'09.4""","35°55'49.6"""
,nan,,nan,,,"07°13'15.4""","35°53'45.0"""
60,nan,0,nan,,,"07°12'55.0""","35°53'05.0"""
,nan,,nan,,,"07°14'14.1""","35°52'19.2"""
,nan,,nan,,,"07°14'29.9""","35°52'36.6"""
,nan,,nan,,,9.202.738.31,182.994.17
,nan,,nan,,,9.202.726.34,182.994.29
45,nan,19.5,nan,,,"07°12'50.7""","35°52'42.3"""
120,225,92,nan,,,"07°14'09.76""","35°52'00.52"""
,nan,,nan,,,"07°14'09.76""","35°52'00.52"""
52,5538,47,nan,,,"07°14'03.79""","35°51'51.75"""
51,986,,nan,,,"07°14'21.56""","35°52'50.54"""
37,nan,24.75,nan,,,"07°20'56.4""","36°05'38.3"""
52.40,585,24.5,nan,,,"07°10'09.60""","35°58'52.50"""
51.20,170,32,nan,,,"07°17'26.4""","36°02'14.3"""
51,163,36,nan,,,"07°12'59.80""","35°50'53.10"""
,nan,,nan,,,"07°15'24.8""","35°57'26.01"""
106,nan,0,nan,,,"07°12'49.2""","35°54'21.7"""
51,1333,24.333333333333332,nan,,,"07°13'42.60""","35°53'15.40"""
,nan,,nan,,,"07°12'24.3""","35°55'31.8"""
65.70  ,666,30,nan,,,"07°13'06.8""","35°53'25.7"""
34,nan,0,nan,,,"07°14'17.0""","35°51'47.6"""
100,nan,0,nan,,,"07°14'18.9""","35°52'23.1"""
50,nan,0,nan,,,"07°12'15.9""","35°52'37.9"""
,nan,,nan,,,"07°16'02.6""","35°47'32.1"""
,nan,,nan,,,"07°16'08.6""","35°47'55.1"""
,nan,,nan,,,"07°16'07.6""","35°47'44.5"""
,nan,,nan,,,"07°16'08.7""","35°47'53.5"""
,nan,,nan,,,"07°16'13.7""","35°48'00.2"""
32,nan,16.0,nan,,,"07°03'16.4""","35°36'27.8"""
52,297,11,nan,,,nan,nan
55,nan,0,nan,,,nan,nan
41,1411,,nan,,,nan,nan
90,nan,0,nan,,,nan,nan
51,nan,18,nan,,,nan,nan
58,133,,nan,,,nan,nan
48.60,626 m,31.0,nan,,,nan,nan
60,nan,12,nan,,,nan,nan
51,1058,22,nan,,,nan,nan
80,nan,0,nan,,,"07°10'24.2""","35°51'11.6"""
52,1333,33.333333333333336,nan,,,"07°15'26.2""","35°52'48.2"""
100,2250,93.0,nan,,,nan,nan
52,480,15,nan,,,nan,nan
52,1107,27,nan,,,nan,nan
40,1565,15.0,nan,,,nan,nan
45,1200,31.0,nan,,,nan,nan
32,2400,26,nan,,,nan,nan
65,288,60,nan,,,nan,nan
64,nan,0,nan,,,nan,nan
60,5538,55,nan,,,"07°15'27.1""","35°53'10.5"""
40,6000,,nan,,,nan,nan
52,nan,0,nan,,,nan,nan
55,80,0,nan,,,nan,nan
32,1800,20.5,nan,,,nan,nan
97.90 Lts/h,2482,38.333333333333336,nan,,,nan,nan
150,nan,95.0,nan,,,nan,nan
100,nan,36,nan,,,nan,nan
80,nan,23,nan,,,nan,nan
98.90  ,325,51,nan,,,nan,nan
106,130,64.5,nan,,,nan,nan
72,nan,34.0,nan,,,nan,nan
51,nan,15.5,nan,,,nan,nan
102,nan,0,nan,,,nan,nan
60,nan,45,nan,,,nan,nan
40,4800,32.0,nan,,,nan,nan
41,529,,nan,,,nan,nan
99,837,86,nan,,,nan,nan
51,400,,nan,,,nan,nan
63,66,0,nan,,,"07°10'06.50""","35°59'44.70"""
52,seco,,nan,,,"07°17'41.70""","35°49'29.90"""
51,nan,38.0,nan,,,"07°14'25.50""","35°53'52.10"""
52,1000,26.0,nan,,,nan,nan
49,3789,,601.3 mh/L,LABDES,128/2011,"07°09'29.5""","35°54'42.8"""
,nan,,10520,,,"07°15'05.2""","35°55'45.6"""
55,seco,0,-,,,"07°15'26.5""","35°55'47.3"""
49,"1,028",28.0,4855.10,LABDES,198/2010,"06°57'00.6""","36°44'03.0"""
,nan,,nan,,,"07°14'18.8""","35°51'40.9"""
,nan,,nan,,,"07°33'14.1""","35°48'46.6"""
50,2250,14.5,993.4,LABDES,149/2011,"06°55'27.6""","35°11'36.4"""
,nan,47,nan,,,"06°54'29.6""","35°11'19.8"""
51,nan,30,nan,,,"07°23'00.9""","36°06'49.0"""
50,3600,30,nan,,,"07°24'06.0""","36°05'22.0"""
50,4000,28.5,nan,,,"07°23'36.7""","36°00'13.6"""
54,seco,0,nan,,,nan,nan
52,seco,0,nan,,,nan,nan
,nan,,nan,,,"07°23'50.2""","36°00'31.5"""
,nan,,nan,,,"07°25'38.3""","36°04'41.6"""
52,Improdutivo,11,-,,,"07°23'19.2""","36°05'04.0"""
,nan,,nan,,,"07°24'20.0""","36°02'58.0"""
48.40,8000,30.333333333333332,2527.00,LABDES,399/2012,"07°23'18.3""","36°06'10.2"""
,nan,27.0,nan,,,"07°24'28.6""","38°34'47.0"""
29,867,11,nan,,,nan,nan
48.10,1403,3,13434.50,LABDES,62/2012,"07°54'12.3""","36°36'08.8"""
51,nan,15.0,nan,,,nan,nan
50,4000,23.333333333333332,nan,,,nan,nan
53,1200,40.0,nan,,,nan,nan
55,1058,20.5,nan,,,nan,nan
51,1565,27,nan,,,"07°08'21.5""","35°07'32.3"""
,nan,,nan,,,"07°10'11.6""","35°09'43.3"""
80,seco,23,-,,,"07°11'11.0""","35°08'20.4"""
,nan,,nan,,,"07°10'28.4""","35°08'48.1"""
,nan,,nan,,,"06°54'56.9""","36°19'05.4"""
,nan,,nan,,,"06°54'46.1""","36°19'10.7"""
,nan,,nan,,,"06°33'57.9""","36°11'38.5"""
,nan,,nan,,,"06°37'25.00""","36°07'43.40"""
,nan,,nan,,,"06°38'15.60""","36°07'25.50"""
50,514,30.5,12575.00,LABDES,11./2011,"06°53'15.9""","3516'06.0"""
51,4500,19.0,238.9,LABDES,44/2012,"06°54'13.1""","35°17'52.6"""
52,seco,-,-,,,"06°54'20.2""","35°17'58.6"""
51.40,1894,14.666666666666666,3449.80,LABDES,124/2013,"06°55'10.5""","35°16'38.1"""
46,207,26.0,817.8,LABDES,127/2013,"06°54'27.0""","35°16'38.6"""
51,1714,29.0,1247.00,LABDES,49/2011,"06°53'50.0""","35°30'41.0"""
,nan,18,nan,,,"06°53'22.1""","35°30'34.1"""
52,1220,30.333333333333332,1006.30,LABDES,98/2011,"06°44'20.7""","35°16'10.8"""
,nan,,nan,,,"06°43'12.8""","35°18'50.5"""
,nan,,nan,,,"06°42'55.10""","35°14'28.60"""
,nan,,nan,,,"06°39'21.3""","35°53'41.6"""
48,240,15,nan,,,nan,nan
,nan,,nan,,,"07°17'26.7""","37°08'11.4"""
,nan,,nan,,,"07°17'26.7""","37°08'11.4"""
,nan,,nan,,,"07°17'36.4""","37°02'12.2"""
51,seco,0,nan,,,nan,nan
60,nan,32.0,nan,,,nan,nan
,nan,,nan,,,"06°36'22.00""","35°37'51.40"""
,nan,,nan,,,"06°34'44.10""","35°34'00.60"""
36,240,,862.1,LABDES,08./2011,"06°34'30.4""","35°33'31.0"""
52,553,10,988.4,LABDES,52/2011,"06°42'24.8""","35°26'29.0"""
29,seco,-,-,,,"07°07'35.1""","38°35'12.1"""
80,seco,22.0,nan,,,nan,nan
,nan,,nan,,,"07°03'04.9""","35°54'09.8"""
53,seco,-,-,,,"07°01'49.6""","35°52'02.4"""
,nan,,nan,,,"07°02'52.6""","35°51'03.4"""
52,nan,12,nan,,,nan,nan
52,seco,12,-,,,"07°21'22.20""","35°46'59.60"""
,nan,12,nan,,,"07°26'04.4""","35°47'32.2"""
,nan,,nan,,,"07°21'33.8""","35°47'52.8"""
45,5142,10,nan,,,"07°33'14.1""","35°48'46.6"""
48,1945,9,nan,,,nan,nan
52,252,19,9207.40,LABDES,656/2014,"07°39'07.3""","35°50'32.2"""
,nan,,nan,,,"07°33'15.7""","35°48'09.3"""
51,nan,21.0,nan,,,nan,nan
51,nan,20.5,nan,,,nan,nan
54, ,13,nan,,,nan,nan
32,nan,,nan,,,nan,nan
24,nan,16.0,nan,,,"06°47'53.7""","35°26'56.5"""
51,seco,28,nan,,,nan,nan
51,seco,16,nan,,,nan,nan
51,nan,21,nan,,,nan,nan
48,5142,24.5,4708.50,LABDES,185/2010,"06°49'17.1""","35°26'12.6"""
44,5142,29.333333333333332,2687.10,LABDES,186/2010,"06°49'00.5""","35°25'46.1"""
55,2057,47.0,1195.60,LABDES,190/2010,"06°52'08.3""","35°29'16.3"""
,nan,,nan,,,"06°50'53.3""","35°29'22.9"""
,nan,,nan,,,"06°50'57.2""","35°28'40.5"""
50.40,1358,25,596.4,LABDES,458/2013,"06°51'37.4""","35°29'49.8"""
,nan,,nan,,,"06°50'50.8""","35°28'58.2"""
,nan,,nan,,,"06°51'32.0""","35°29'46.2"""
54,seco,39,-,,,"06°52'21.3""","35°29'58.2"""
63.70,3428,35.0,´450.2,LABDES,366/2012,"06°52'21.3""","35°29'58.2"""
,nan,,nan,,,"06°5123.5""","35°28'28.7"""
,nan,,nan,,,"06°52'35.0""","35°28'36.9"""
53,4800,26,3689.70,LABDES,342/2013,"06°52'15.5""","35°29'58.1"""
,nan,,nan,,,"06°53'40.0""","35°27'52.3"""
,nan,,nan,,,"06°52'02.3""","35°26'58.7"""
53,seco,-,-,,,"06°50'51.0""","35°28'56.1"""
,nan,,nan,,,"06°53'13.10""","35°28'10.90"""
,nan,,nan,,,"06°53'12.3""","35°30'33.7"""
48.40,900,23.0,470.9,LABDES,379/2012,"06°53'01.6""","35°30'25.8"""
,nan,,nan,,,"06°48'56.1""","35°25'49.8"""
,nan,,nan,,,"06°55'09.3""","35°27'54.8"""
32,1028,,nan,,,nan,nan
29,3789,0,nan,,,nan,nan
51,seco,12,nan,,,nan,nan
51,seco,0,nan,,,nan,nan
,nan,,nan,,,"07°10'34.1""","35°22'54.0"""
,nan,,nan,,,"07°11'23.8""","35°25'10.3"""
,nan,,nan,,,"07°10'14.30""","35°21'39.70"""
51,Improdutivo,12,-,,,"07°06'20.90""","35°28'01.00"""
,nan,,nan,,,"07°19'21.60""","35°17'05.30"""
,nan,,nan,,,"07°10'34.6""","35°23'02.0"""
,nan,,nan,,,"07°10'39.1""","35°23'26.2"""
,nan,,nan,,,"07°10'33.6""","35°22'51.3"""
,nan,,nan,,,"07°14'25.4""","35°36'54.1"""
39,10285,13.0,1260.10,LABDES,965/2015,"07°18'34.70""","35°35'46.70"""
51.60,7200,25.333333333333332,2935.10,LABDES,757/2015,"07°15'21.20""","35°36'02.50"""
80,seco,0,nan,,,"07°13'05.9""","35°35'41.6"""
41,9000,17,3242.20,LABDES,958/2015,outro nome,outro nome
63.40,1074 m,41.0,5929.40,LABDES,249/2012,"07°14'25.4""","35°36'54.1"""
20,seco,-,-,,,"07°13'28.5""","35°34'04.5"""
53.20,600,12,6175.90,LABDES,424/2014,"07°12'07.2""","35°35'53.9"""
,nan,,nan,,,"07°11'30.00""","35°38'32.80"""
52.80,1636,16.666666666666668,2099.70,LABDES,72/2014,"07°17'45.4""","35°35'59.4"""
51,nan,26.25,nan,,,"07°19'32.9""","35°25'42.5"""
51,6000,31.0,nan,,,nan,nan
52,seco,0,-,,,"07°19'21.60""","35°17'05.30"""
52,nan,33.0,nan,,,"07°18'35.60""","35°20""37.00"""
52,nan,,nan,,,"07°19'24.80""","35°18'06.10"""
,nan,,nan,,,"07°18'53.1""","35°17'59.4"""
59,321,40.5,6078.90,LABDES,131/2012,"07°18'41.5""","35°20'24.1"""
,nan,,nan,,,"07°18'46.0""","35°23'24.4"""
,nan,,nan,,,"07°18'24.9""","35°23'36.3"""
,nan,32.0,nan,,,"07°18'35.60""","35°20'37.00"""
,nan,,nan,,,"07°22'42.8""","35°20'42.8"""
52,0,0,-,,,"07°19'21.60""","35°17'05.30"""
,nan,,nan,,,"07°20'24.80""","35°22'53.60"""
,nan,,nan,,,"07°19'33.00""","35°19'31.6"""
,nan,,nan,,,"07°19'24.80""","35°18'06.10"""
,nan,,nan,,,"07°18'23.0""","35°24'19.0"""
58,nan,,1431.70,LABDES,01./2013,"07°27'07.3""","35°10'23.3"""
,nan,,nan,,,"07°23'08.0""","35°12'54.9"""
59,seco,0,-,,,"06°46'10.9""","35°16'41.8"""
51,654,27.5,571,,,"06°50'10.9""","35°15'22.2"""
52.1,911,,2212.40,LABDES,420/2013,"06°48'55.6""","35°12'44.6"""
50,734,22.5,253.8,LABDES,100/2012,"06°50'10.9""","35°15'22.2"""
46.7,5538,17.666666666666668,282.2,LABDES,709/2014,"06°50'19.7""","35°14'54.8"""
20.6,6000,15.0,2937.90,LABDES,10./2012,"07°24'06.6""","35°38'04.6"""
,nan,,nan,,,"06°35'37.1""","35°16'41.6"""
,nan,,nan,,,"06°37'26.7""","35°18'46.5"""
51,seco,0,nan,,,nan,nan
46.6,1894,,3296.80,LABDES,58/2011,"07°07'03.6""","35°31'09.5"""
49.1,2880,,1981.30,LABDES,473/2013,"07°10'51.9""","35°34'52.3"""
49.2,1309,19.0,1344.10,LABDES,15/2014,"07°08'41.5""","35°08'41.5"""
,nan,,nan,,,"07°02'26.8""","36°31'47.6"""
,nan,,nan,,,"07°03'53.5""","36°38'49.8"""
,nan,,nan,,,"07°02'24.0""","36°36'24.0"""
52,1028,,nan,,,"07°01'37.4""","36°33'33.9"""
51.6,74,,nan,,,"06°56'32.6""","36°48'11.6"""
,nan,,nan,,,"06°59'21.3""","36°43'01.3"""
62.3,4500,,1300.70,LABDES,457/2013,"06°58'36.5""","36°41'27.2"""
44,nan,18,nan,,,"07°22'12.60""","35°15'02.30"""
,nan,,nan,,,"07°22'43.04""","35°11'04.4"""
,nan,18,nan,,,"07°22'12.60""","35°15'02.30"""
52,253,37,nan,,,"06°39'27.7""","35°19'57.5"""
51,seco,14,nan,,,"06°40'02.6""","35°21'25.4"""
46.70,960 m,31.5,400,,,"06°39'58.2""","35°20'49.5"""
51.80,8000,28.333333333333332,1391.10,LABDES,257/2014,"06°40'00.3""","35°20'02.1"""
,nan,,nan,,,"06°39'00.4""","35°21'45.8"""
,nan,,nan,,,"06°39'11.2""","35°21'09.3"""
52,256,37,nan,,,"07°02'52.6""","35°51'03.4"""
,nan,,nan,,,"07°04'59.0""","35°51'45.4"""
48.20,365,13,509.3,LABDES,326/2013,"07°04'54.9""","35°48'58.2"""
,nan,,nan,,,"07°04'15.5""","35°49'31.6"""
,nan,,nan,,,"07°06'58.5""","35°51'31.0"""
100,600,90,nan,,,nan,nan
53,600,18.0,nan,,,"07°08'34.10""","35°54'41.50"""
63,3130,57.0,nan,,,nan,nan
52,nan,0,nan,,,nan,nan
41,seco,0,nan,,,"07°06'54.2""","35°54'59.1"""
100,Improdutivo,56,-,,,nan,nan
52,seco,0,nan,,,"07°08'45.3""","35°54'43.7"""
52,271,16,nan,,,nan,nan
52,nan,9,nan,,,nan,nan
60,seco,0,nan,,,nan,nan
52,seco,0,nan,,,nan,nan
70,514,,nan,,,nan,nan
51,194,10,nan,,,nan,nan
94,360,82,nan,,,nan,nan
100,nan,46.0,nan,,,nan,nan
72,nan,19,nan,,,nan,nan
52,8000,47,nan,,,nan,nan
100,200,30.333333333333332,nan,,,nan,nan
40,nan,0,nan,,,nan,nan
50,774,32.5,nan,,,nan,nan
58,seco,0,-,,,"07°09'02.3""","35°52'10.0"""
33,6545,16.5,832.3,,,"07°09'10.8""","35°53'22.9"""
49,1384,33.0,2572.90,,,"07°08'04.2""","35°54'21.0"""
,nan,,nan,,,"07°10'43.8""","35°50'25.3"""
,nan,,nan,,,"07°09'40.1""","35°52'37.6"""
,nan,,nan,,,"07°08'45.1""","35°54'56.3"""
,nan,,nan,,,"07°10'24.6""","35°54'02.4"""
44,1241,13,576.5,,,"07°07'48.0""","35°50'44.9"""
,nan,,nan,,,"07°08'44.8""","35°51'55.6"""
,nan,,nan,,,"07°08'53.6""","35°53'31.5"""
52,seco,29,-,,,"07°08'44.4""","35°49'49.5"""
,nan,,nan,,,"07°08'20.8""","35°50'16.1"""
49,109,21,207.9,LABDES,94/2011,"07°08'40.2""","35°50'55.5"""
51.20,402,21.0,559.3,LABDES,183/2012,"07°09'42.3""","35°51'29.8"""
50.20,325,42,1076.10,,,"07°09'08.9""","35°54'58.8"""
,nan,,nan,,,"07°09'06.6""","35°51'33.4"""
,nan,23.333333333333332,nan,,,"07°08'38.4""","35°53'28.7"""
52,seco,-,-,,,"07°09'21.6""","35°53'13.6"""
50.60,590,15,735.5,LABDES,370/2012,"07°08'13.9""","35°54'39.0"""
,nan,,nan,,,"07°08'57.1""","35°51'01.0"""
53.40,2322,28.666666666666668,2368.30,LABDES,524/2014,"07°09'27.3""","35°48'27.8"""
55,seco,-,-,,,"07°07'35.0""","35°53'48.0"""
37,seco,-,-,,,"07°09'05.8""","35°50'02.9"""
50.40,558,18.5,268.6,LABDES,102/2013,"07°10'06.4""","35°50'47.7"""
,nan,,nan,,,"07°07'40.9""","35°53'28.5"""
,nan,30,nan,,,"07°09'06.8""","35°54'00.3"""
56,Improdutivo,31.5,-,,,"07°09'20.7""","35°54'13.6"""
51,409,43.0,1423.10,LABDES,11./2012,"07°07'29.5""","35°51'55.7"""
,nan,,nan,,,"07°07'25.0""","35°53'07.1"""
30.40,553,,411,LABDES,200/2011,"07°08'40.2""","35°50'55.5"""
,nan,,nan,,,"07°09'32.9""","35°54'42.0"""
,nan,,nan,,,"07°11'09.83""","35°51'38.51"""
,nan,12,nan,,,"07°09'30.5""",35°51'06.7
53,600,16.666666666666668,309.9,LABDES,822/2015,"07°08'34.10""","35°54'41.50"""
,nan,,nan,,,"07°11'00.9""","35°51'44.6"""
,nan,,nan,,,"07°11'40.17""","35°51'56.32"""
,nan,,nan,,,"07°10'36.6""","35°52'11.8"""
,nan,,nan,,,"07°08'12.40""","35°50'12.80"""
,nan,,nan,,,"07°10'09.50""","35°51'33.4"""
,nan,,nan,,,"07°09'42.80""","35°51'16.20"""
,nan,,nan,,,"07°09'41.8""","35°51'27.0"""
56,240,22.5,663. 2,LABDES,131/2011,"07°09'45.5""","35°52'42.5"""
50.30,227,,446,LABDES,402/2013,"07°10'28.1""","35°52'09.0"""
57.8,1107,27.333333333333332,529.2,LABDES,12./2012,"07°09'08.0""","35°53'28.8"""
,nan,13,nan,,,"07°08'25.0""","35°54'17.1"""
,nan,,nan,,,"07°07'48.0""","35°54'26.1"""
52.3,2000,,155.6,LABDES,118/2014,"07°09'57.5""","35°51'19.0"""
,nan,,nan,,,"07°09'55.20""","35°51'25.60"""
,nan,,nan,,,"07°10'24.2""","35°51'11.6"""
52.5,972,32.5,735.3,LABDES,640/2013,"07°08'11.1""","35°47'44.4"""
,nan,,nan,,,"07°07'39.3""","35°55'27.3"""
,nan,,nan,,,"07°06'54.2""","35°54'59.1"""
,nan,,nan,,,"07°08'35.4""","35°48'25.8"""
50.1,260,18,403.9,LABDES,343/2013,"07°09'03.3""","35°51'09.8"""
,nan,seco,nan,,,"07°07'27.7""","35°49'45.4"""
,nan,,nan,,,nan,nan
53.5,7200,,3965.80,LABDES,356/2014,"07°09'38.1""","35°48'44.4"""
,nan,,nan,,,"07°08'06.40""","35°51'55.10"""
45,2250,23.5,345.3,LABDES,109/2012,"07°08'39.6""","35°51'55.4"""
